freq_hz,s11_re,s11_im,s11_mag,s11_db,s21_re,s21_im,s21_mag,s21_db,s21_phase_rad,s21_phase_unwrap_rad,s21_phase_deg,s12_mag,s22_mag,group_delay_s21_s,passivity_sigma_max,passivity_margin,passivity_q_min_eig,reciprocity_abs_s21_minus_s12
1000000000.0,-0.955767637,-0.24553310099999984,0.9868020468276502,-0.11539916733002092,0.015207761599999998,-0.0106488959,0.018565424766793553,-34.625902198065155,-0.6108787656289545,-0.6108787656289545,-35.00077506470047,0.01856849681824,0.9868020470336077,1.0427347813175136e-09,0.9990000001400701,0.0009999998599299342,0.0019989997201406064,1.5430692337030425e-05
1001962066.7102681,-0.9621114829818727,-0.232471316068717,0.9897986757317366,-0.08906263148702856,0.00893178612087929,-0.006258022176753898,0.010905945391110092,-39.24673362537149,-0.611159536927869,-0.611159536927869,-35.01686207513667,0.01090040395728161,0.9900000003330139,1.074842179840593e-09,0.997182503702628,0.0028174962973720463,0.00562705430935832,7.14268276070738e-06
1003924133.4205363,-0.9538804388634804,-0.2607958551569767,0.9888894628387163,-0.09704501461063456,0.008007851011444451,-0.005989517698068735,0.010000000003848526,-39.99999999665721,-0.6421914635782427,-0.6421914635782427,-36.79486050236263,0.01000164304417364,0.9888719042263406,1.1030772689650743e-09,0.9950522920349404,0.004947707965059611,0.00987093611601159,2.5330479641600694e-06
1005886200.1308044,-0.9436227875914308,-0.28372092139263777,0.9853535033163022,-0.12815869974841768,0.008110762722094959,-0.005849404231791634,0.010000000090051354,-39.99999992178239,-0.6248065952901205,-0.6248065952901205,-35.798780922062406,0.010006701195507067,0.9893340065452022,1.1274400486909577e-09,0.9937806745288639,0.006219325471136128,0.012399970932956462,1.198576574965223e-05
1007848266.8410726,-0.9611541566168569,-0.2316334659901221,0.9886715204497694,-0.09895951794227408,0.010018551079495282,-0.007921061254450737,0.012771631733228796,-37.87507225447215,-0.6690071429307606,-0.6690071429307606,-38.33128575403801,0.012787128035425399,0.9900000004032141,1.1479305190182427e-09,0.9973179007227192,0.0026820992772808028,0.005357004898028327,1.589422898414349e-05
1009810333.5513407,-0.9536109859545105,-0.2511906902853358,0.9861392779010261,-0.1212348583326754,0.007846255479602866,-0.006199699585814333,0.010000000000277221,-39.99999999975921,-0.6687044150147474,-0.6687044150147474,-38.31394072210966,0.009992942926674027,0.9899999998416033,1.1645486799469297e-09,0.9944114338682367,0.005588566131763284,0.011145900192117144,7.2290648358181555e-06
1011772400.2616088,-0.9545119805621775,-0.2547739209508678,0.987928576281408,-0.10548904444406715,0.0075845909267366896,-0.006517207066947248,0.010000000373970176,-39.99999967517364,-0.7098508872128442,-0.7098508872128442,-40.67145992091299,0.009992312952338206,0.9843087924549959,1.1772945314770186e-09,0.992093492982271,0.007906507017728992,0.015750501182236462,1.0567090700286964e-05
1013734466.9718771,-0.9570181920163604,-0.25340911560055324,0.9899999998584432,-0.08729610929096787,0.009805073178116368,-0.008518081873102731,0.012988347809675345,-37.72892180190585,-0.7152748080818802,-0.7152748080818802,-40.98222769512168,0.012985493395180129,0.9900000000590123,1.1861680736085075e-09,0.9973667333726651,0.0026332666273348737,0.005259599161539432,1.9630004997578147e-05
1015696533.6821452,-0.9632113944947348,-0.21799780896992005,0.987572394916027,-0.10862116344523653,0.007643797360760959,-0.006447664074979021,0.01000000050580755,-39.99999956066115,-0.70071760367725,-0.70071760367725,-40.14816132122712,0.009993766007031226,0.9872899312059139,1.1690524040295931e-09,0.9935120346582719,0.00648796534172813,0.012933836989180807,1.366904014387713e-05
1017658600.3924134,-0.9516329664950693,-0.25994154380000484,0.9864962793205739,-0.11809096796394786,0.012009018321128872,-0.010401515412336401,0.015887354843090798,-35.978968088170404,-0.713791014147859,-0.713791014147859,-40.897212565035154,0.01591224242676647,0.9873288416868403,1.2274582792561095e-09,0.9958220506209686,0.004177949379031376,0.008338443497049026,3.00030315879368e-05
1019620667.1026815,-0.9559709606256575,-0.2573315422266237,0.9900000000930681,-0.087296107232457,0.007276660971236563,-0.0068593159455071885,0.010000000506530318,-39.999999560033366,-0.7558831300262384,-0.7558831300262384,-43.30891315564189,0.00999941510747743,0.9899999995276303,1.1539086894016783e-09,0.9952987939157706,0.0047012060842294146,0.009380310829811906,4.415123028442003e-06
